source	target	weight
860053	860054	1.000
860053	860063	1.000
860053	860062	1.000
860053	860061	1.000
860052	860060	1.000
860052	860059	1.000
860052	860058	1.000
860052	860057	1.000
860052	860067	1.000
860052	860066	1.000
860052	860055	1.000
860052	860056	1.000
860052	860065	1.000
860052	860064	1.000
860052	860054	1.000
860052	860063	1.000
860052	860062	1.000
860052	860053	1.000
860052	860061	1.000
627827	627828	1.000
774032	774031	1.000
848670	848671	1.000
774315	774314	1.000
776500	776499	1.000
776501	776499	1.000
776501	776500	1.000
776502	776499	1.000
776502	776500	1.000
776502	776501	1.000
776503	776499	1.000
776503	776500	1.000
776503	776501	1.000
776503	776502	1.000
776504	776499	1.000
776504	776500	1.000
776504	776501	1.000
776504	776502	1.000
776504	776503	1.000
668270	668271	1.000
777505	777504	1.000
779161	779160	1.000
779163	779162	1.000
779164	779162	1.000
779164	779163	1.000
779165	779162	1.000
779165	779163	1.000
779165	779164	1.000
779166	779165	1.000
779166	779162	1.000
779166	779163	1.000
779166	779164	1.000
779167	779165	1.000
779167	779166	1.000
779167	779162	1.000
779167	779163	1.000
779167	779164	1.000
779168	779165	1.000
779168	779166	1.000
779168	779167	1.000
779168	779162	1.000
779168	779163	1.000
779168	779164	1.000
779169	779165	1.000
779169	779166	1.000
779169	779167	1.000
779169	779168	1.000
779169	779162	1.000
779169	779163	1.000
779169	779164	1.000
779170	779165	1.000
779170	779166	1.000
779170	779167	1.000
779170	779168	1.000
779170	779169	1.000
779170	779162	1.000
779170	779163	1.000
779170	779164	1.000
779171	779165	1.000
779171	779166	1.000
779171	779167	1.000
779171	779168	1.000
779171	779169	1.000
779171	779170	1.000
779171	779162	1.000
779171	779163	1.000
779171	779164	1.000
779172	779165	1.000
779172	779166	1.000
779172	779167	1.000
779172	779168	1.000
779172	779169	1.000
779172	779170	1.000
779172	779171	1.000
779172	779162	1.000
779172	779163	1.000
779172	779164	1.000
779173	779165	1.000
779173	779166	1.000
779173	779167	1.000
779173	779168	1.000
779173	779169	1.000
779173	779170	1.000
779173	779171	1.000
779173	779172	1.000
779173	779162	1.000
779173	779163	1.000
779173	779164	1.000
779174	779165	1.000
779174	779166	1.000
779174	779167	1.000
779174	779168	1.000
779174	779169	1.000
779174	779170	1.000
779174	779171	1.000
779174	779172	1.000
779174	779173	1.000
779174	779162	1.000
779174	779163	1.000
779174	779164	1.000
779175	779165	1.000
779175	779166	1.000
779175	779167	1.000
779175	779168	1.000
779175	779169	1.000
779175	779170	1.000
779175	779171	1.000
779175	779172	1.000
779175	779173	1.000
779175	779174	1.000
779175	779162	1.000
779175	779163	1.000
779175	779164	1.000
779176	779165	1.000
779176	779166	1.000
779176	779167	1.000
779176	779168	1.000
779176	779169	1.000
779176	779170	1.000
779176	779171	1.000
779176	779172	1.000
779176	779173	1.000
779176	779174	1.000
779176	779175	1.000
779176	779162	1.000
779176	779163	1.000
779176	779164	1.000
667910	667911	1.000
667909	667911	1.000
667909	667910	1.000
782686	782685	1.000
622118	622119	1.000
782687	782685	1.000
782687	782686	1.000
782688	782687	1.000
782688	782685	1.000
782688	782686	1.000
782689	782687	1.000
782689	782688	1.000
782689	782685	1.000
782689	782686	1.000
654222	654223	1.000
786726	786725	1.000
786727	786725	1.000
786727	786726	1.000
846892	846893	1.000
846891	846893	1.000
846891	846892	1.000
788041	788040	1.000
958783	958784	1.000
962501	962502	1.000
958835	958841	1.000
958834	958841	1.000
958834	958835	1.000
958782	958783	1.000
958782	958784	1.000
960763	960764	1.000
960762	960764	1.000
960762	960763	1.000
958781	958782	1.000
958781	958783	1.000
958781	958784	1.000
917557	917558	1.000
958851	958834	1.000
958851	958841	1.000
958851	958835	1.000
958850	958834	1.000
958850	958851	1.000
958850	958841	1.000
958850	958835	1.000
958849	958834	1.000
958849	958851	1.000
958849	958850	1.000
958849	958841	1.000
958849	958835	1.000
958848	958834	1.000
958848	958851	1.000
958848	958850	1.000
958848	958849	1.000
958848	958841	1.000
958848	958835	1.000
958847	958834	1.000
958847	958851	1.000
958847	958850	1.000
958847	958849	1.000
958847	958848	1.000
958847	958841	1.000
958847	958835	1.000
958846	958834	1.000
958846	958851	1.000
958846	958850	1.000
958846	958849	1.000
958846	958848	1.000
958846	958847	1.000
958846	958841	1.000
958846	958835	1.000
958845	958834	1.000
958845	958851	1.000
958845	958850	1.000
958845	958849	1.000
958845	958848	1.000
958845	958847	1.000
958845	958846	1.000
958845	958841	1.000
958845	958835	1.000
958844	958834	1.000
958844	958851	1.000
958844	958850	1.000
958844	958849	1.000
958844	958848	1.000
958844	958847	1.000
958844	958846	1.000
958844	958845	1.000
958844	958841	1.000
958844	958835	1.000
958843	958834	1.000
958843	958851	1.000
958843	958850	1.000
958843	958849	1.000
958843	958848	1.000
958843	958847	1.000
958843	958846	1.000
958843	958845	1.000
958843	958841	1.000
958843	958835	1.000
958843	958844	1.000
958842	958834	1.000
958842	958851	1.000
958842	958850	1.000
958842	958849	1.000
958842	958848	1.000
958842	958847	1.000
958842	958846	1.000
958842	958845	1.000
958842	958841	1.000
958842	958835	1.000
958842	958843	1.000
958842	958844	1.000
958839	958834	1.000
958839	958851	1.000
958839	958850	1.000
958839	958849	1.000
958839	958848	1.000
958839	958847	1.000
958839	958846	1.000
958839	958845	1.000
958839	958841	1.000
958839	958835	1.000
958839	958843	1.000
958839	958844	1.000
958839	958842	1.000
938454	938453	1.000
958838	958834	1.000
958838	958839	1.000
958838	958851	1.000
958838	958850	1.000
958838	958849	1.000
958838	958848	1.000
958838	958847	1.000
958838	958846	1.000
958838	958845	1.000
958838	958841	1.000
958838	958835	1.000
958838	958843	1.000
958838	958844	1.000
958838	958842	1.000
1014052	1014051	1.000
958837	958834	1.000
958837	958838	1.000
958837	958839	1.000
958837	958851	1.000
958837	958850	1.000
958837	958849	1.000
958837	958848	1.000
958837	958847	1.000
958837	958846	1.000
958837	958845	1.000
958837	958841	1.000
958837	958835	1.000
958837	958843	1.000
958837	958844	1.000
958837	958842	1.000
958840	958834	1.000
958840	958838	1.000
958840	958837	1.000
958840	958839	1.000
958840	958851	1.000
958840	958850	1.000
958840	958849	1.000
958840	958848	1.000
958840	958847	1.000
958840	958846	1.000
958840	958845	1.000
958840	958841	1.000
958840	958835	1.000
958840	958843	1.000
958840	958844	1.000
958840	958842	1.000
958836	958837	1.000
958836	958851	1.000
958836	958850	1.000
958836	958849	1.000
958836	958848	1.000
958836	958847	1.000
958836	958846	1.000
958836	958845	1.000
958836	958841	1.000
958836	958835	1.000
958836	958843	1.000
958836	958844	1.000
958836	958842	1.000
958836	958834	1.000
958836	958839	1.000
958836	958838	1.000
958836	958840	1.000
956164	956165	1.000
956163	956165	1.000
956163	956164	1.000
956162	956165	1.000
956162	956164	1.000
956162	956163	1.000
569525	569524	1.000
591045	591044	1.000
591046	591045	1.000
591046	591044	1.000
591047	591045	1.000
591047	591046	1.000
591047	591044	1.000
591048	591045	1.000
591048	591046	1.000
591048	591047	1.000
591048	591044	1.000
591049	591045	1.000
591049	591046	1.000
591049	591047	1.000
591049	591048	1.000
591049	591044	1.000
591050	591045	1.000
591050	591046	1.000
591050	591047	1.000
591050	591048	1.000
591050	591049	1.000
591050	591044	1.000
588414	588416	1.000
591051	591045	1.000
591051	591046	1.000
591051	591047	1.000
591051	591048	1.000
591051	591049	1.000
591051	591050	1.000
591051	591044	1.000
585567	585566	1.000
585568	585566	1.000
585568	585567	1.000
585569	585566	1.000
585569	585567	1.000
585569	585568	1.000
585570	585569	1.000
585570	585566	1.000
585570	585567	1.000
585570	585568	1.000
592613	592614	1.000
585915	585914	1.000
591606	591607	1.000
591605	591606	1.000
591605	591607	1.000
591604	591606	1.000
591604	591605	1.000
591604	591607	1.000
591603	591606	1.000
591603	591605	1.000
591603	591604	1.000
591603	591607	1.000
574200	574199	1.000
608659	608660	1.000
591602	591606	1.000
591602	591605	1.000
591602	591604	1.000
591602	591607	1.000
591602	591603	1.000
320071	320072	1.000
337367	337366	1.000
337368	337366	1.000
337368	337367	1.000
337369	337366	1.000
337369	337367	1.000
337369	337368	1.000
546637	546636	1.000
338319	338318	1.000
314965	314966	1.000
314964	314966	1.000
314964	314965	1.000
314957	314958	1.000
471347	471346	1.000
471348	471346	1.000
471348	471347	1.000
471349	471346	1.000
471349	471347	1.000
471349	471348	1.000
471350	471346	1.000
471350	471347	1.000
471350	471348	1.000
471350	471349	1.000
471351	471346	1.000
471351	471347	1.000
471351	471348	1.000
471351	471349	1.000
471351	471350	1.000
516755	516756	1.000
550299	550298	1.000
471352	471346	1.000
471352	471347	1.000
471352	471348	1.000
471352	471349	1.000
471352	471350	1.000
471352	471351	1.000
439134	439133	1.000
438440	438439	1.000
390910	390900	1.000
344034	344035	1.000
522165	522166	1.000
338606	338605	1.000
338607	338605	1.000
338607	338606	1.000
338608	338605	1.000
338608	338606	1.000
338608	338607	1.000
338609	338605	1.000
338609	338606	1.000
338609	338607	1.000
338609	338608	1.000
409112	409113	1.000
409111	409113	1.000
409111	409112	1.000
397788	397787	1.000
338705	338704	1.000
308819	308818	1.000
461809	461810	1.000
445207	445208	1.000
445206	445208	1.000
445206	445207	1.000
526433	526434	1.000
526432	526434	1.000
526432	526433	1.000
526431	526434	1.000
526431	526433	1.000
526431	526432	1.000
526430	526434	1.000
526430	526433	1.000
526430	526432	1.000
526430	526431	1.000
526429	526434	1.000
526429	526433	1.000
526429	526432	1.000
526429	526431	1.000
526429	526430	1.000
366346	366345	1.000
380113	380112	1.000
380114	380112	1.000
380114	380113	1.000
366347	366345	1.000
366347	366346	1.000
366348	366347	1.000
366348	366345	1.000
366348	366346	1.000
366349	366347	1.000
366349	366348	1.000
366349	366345	1.000
366349	366346	1.000
366350	366347	1.000
366350	366348	1.000
366350	366349	1.000
366350	366345	1.000
366350	366346	1.000
366351	366347	1.000
366351	366348	1.000
366351	366349	1.000
366351	366350	1.000
366351	366345	1.000
366351	366346	1.000
366352	366347	1.000
366352	366348	1.000
366352	366349	1.000
366352	366350	1.000
366352	366351	1.000
366352	366345	1.000
366352	366346	1.000
366353	366347	1.000
366353	366348	1.000
366353	366349	1.000
366353	366350	1.000
366353	366351	1.000
366353	366352	1.000
366353	366345	1.000
366353	366346	1.000
315056	315057	1.000
366354	366347	1.000
366354	366348	1.000
366354	366349	1.000
366354	366350	1.000
366354	366351	1.000
366354	366352	1.000
366354	366353	1.000
366354	366345	1.000
366354	366346	1.000
366355	366347	1.000
366355	366348	1.000
366355	366349	1.000
366355	366350	1.000
366355	366351	1.000
366355	366352	1.000
366355	366353	1.000
366355	366345	1.000
366355	366354	1.000
366355	366346	1.000
308831	308818	1.000
308831	308819	1.000
366356	366347	1.000
366356	366348	1.000
366356	366349	1.000
366356	366350	1.000
366356	366351	1.000
366356	366352	1.000
366356	366353	1.000
366356	366345	1.000
366356	366354	1.000
366356	366355	1.000
366356	366346	1.000
461598	461599	1.000
461597	461599	1.000
461597	461598	1.000
308832	308818	1.000
308832	308831	1.000
308832	308819	1.000
366357	366347	1.000
366357	366348	1.000
366357	366349	1.000
366357	366350	1.000
366357	366351	1.000
366357	366352	1.000
366357	366353	1.000
366357	366345	1.000
366357	366354	1.000
366357	366355	1.000
366357	366356	1.000
366357	366346	1.000
308833	308832	1.000
308833	308818	1.000
308833	308831	1.000
308833	308819	1.000
366358	366347	1.000
366358	366348	1.000
366358	366357	1.000
366358	366349	1.000
366358	366350	1.000
366358	366351	1.000
366358	366352	1.000
366358	366353	1.000
366358	366345	1.000
366358	366354	1.000
366358	366355	1.000
366358	366356	1.000
366358	366346	1.000
366359	366347	1.000
366359	366348	1.000
366359	366357	1.000
366359	366349	1.000
366359	366350	1.000
366359	366351	1.000
366359	366358	1.000
366359	366352	1.000
366359	366353	1.000
366359	366345	1.000
366359	366354	1.000
366359	366355	1.000
366359	366356	1.000
366359	366346	1.000
357085	357087	1.000
401694	401693	1.000
401695	401693	1.000
401695	401694	1.000
508544	508545	1.000
357086	357085	1.000
357086	357087	1.000
441450	441453	1.000
414450	414451	1.000
294977	294976	1.000
290719	290720	1.000
277059	277060	1.000
294970	294976	1.000
294970	294977	1.000
293984	293983	1.000
294971	294976	1.000
294971	294970	1.000
294971	294977	1.000
293985	293983	1.000
293985	293984	1.000
294972	294976	1.000
294972	294970	1.000
294972	294977	1.000
294972	294971	1.000
294978	294972	1.000
294978	294976	1.000
294978	294970	1.000
294978	294977	1.000
